Development,AvailableLots,timestamp
Suntec City,2741,2022-04-02T20:12
Suntec City,2403,2022-04-04T13:52
Suntec City,2688,2022-04-04T16:32
Suntec City,2720,2022-04-04T18:57
Suntec City,2736,2022-04-04T19:27
Suntec City,2736,2022-04-04T19:32
Suntec City,2736,2022-04-04T19:42
Suntec City,2736,2022-04-04T19:57
Suntec City,2736,2022-04-04T20:07
Suntec City,2736,2022-04-04T20:12
Suntec City,2736,2022-04-04T21:52
Suntec City,2736,2022-04-04T21:57
Suntec City,2738,2022-04-04T22:12
Suntec City,2734,2022-04-04T22:17
Suntec City,1159,2022-04-05T04:12
Suntec City,1096,2022-04-05T04:27
Suntec City,1025,2022-04-05T05:32
Suntec City,1025,2022-04-05T05:37
Suntec City,2635,2022-04-05T15:27
Suntec City,2722,2022-04-05T17:37
Suntec City,2725,2022-04-05T17:47
Suntec City,2725,2022-04-05T17:52
Suntec City,2730,2022-04-05T20:12
Suntec City,2730,2022-04-05T20:27
Suntec City,2731,2022-04-05T20:57
Suntec City,2731,2022-04-05T21:12
Suntec City,2731,2022-04-05T21:17
Suntec City,2731,2022-04-05T21:22
Suntec City,2731,2022-04-05T21:47
Suntec City,1029,2022-04-06T04:12
Suntec City,972,2022-04-06T04:27
Suntec City,933,2022-04-06T04:37
Suntec City,2644,2022-04-06T15:32
Suntec City,2644,2022-04-06T15:37
Suntec City,2644,2022-04-06T15:47
Suntec City,2674,2022-04-06T16:12
Suntec City,1256,2022-04-07T03:32
Suntec City,1188,2022-04-07T03:52
Suntec City,922,2022-04-07T06:22
Suntec City,2467,2022-04-07T14:17
Suntec City,2660,2022-04-08T16:47
Suntec City,2712,2022-04-08T17:32
Suntec City,2739,2022-04-08T17:57
Suntec City,2748,2022-04-08T18:47
Suntec City,2368,2022-04-09T14:57
Suntec City,2471,2022-04-09T15:22
Suntec City,2310,2022-04-10T13:42
Suntec City,2667,2022-04-10T15:57
Suntec City,2675,2022-04-10T16:07
Suntec City,2701,2022-04-10T16:47
Suntec City,2736,2022-04-10T18:27
Suntec City,2735,2022-04-10T18:47
Suntec City,2735,2022-04-10T18:52
Suntec City,2735,2022-04-10T19:02
Suntec City,2735,2022-04-10T19:07
Suntec City,2748,2022-04-10T20:02
Suntec City,2750,2022-04-10T20:47
Suntec City,2750,2022-04-10T20:52
Suntec City,2750,2022-04-10T20:57
Suntec City,2750,2022-04-10T21:02
